"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Proximity","2025-07-16T19:38:14.200000+00:00","Behavior Group 2","2025-07-16T19:37:54.316000+00:00",2.316,19.884,""
"Passive","2025-07-16T19:38:14.700000+00:00","Behavior Group 1","2025-07-16T19:37:54.316000+00:00",2.316,20.384,""
"Social Contact","2025-07-16T19:38:16.200000+00:00","Behavior Group 2","2025-07-16T19:38:14.200000+00:00",22.2,2.0,""
"Withdraw","2025-07-16T19:38:16.200000+00:00","","2025-07-16T19:38:16.200000+00:00",24.2,0.0,""
"Locomotion","2025-07-16T19:38:16.200000+00:00","Behavior Group 1","2025-07-16T19:38:14.700000+00:00",22.7,1.5,""
"Proximity","2025-07-16T19:38:26.300000+00:00","Behavior Group 2","2025-07-16T19:38:16.200000+00:00",24.2,10.1,""
"Passive","2025-07-16T19:38:26.800000+00:00","Behavior Group 1","2025-07-16T19:38:16.200000+00:00",24.2,10.6,""
"Locomotion","2025-07-16T19:38:27.600000+00:00","Behavior Group 1","2025-07-16T19:38:26.800000+00:00",34.8,0.8,""
"Self-Directed","2025-07-16T19:38:30.400000+00:00","Behavior Group 1","2025-07-16T19:38:27.600000+00:00",35.6,2.8,""
"Social Contact","2025-07-16T19:38:30.400000+00:00","Behavior Group 2","2025-07-16T19:38:26.300000+00:00",34.3,4.1,""
"Proximity","2025-07-16T19:38:45.400000+00:00","Behavior Group 2","2025-07-16T19:38:30.400000+00:00",38.4,15.0,""
"Passive","2025-07-16T19:38:46.200000+00:00","Behavior Group 1","2025-07-16T19:38:30.400000+00:00",38.4,15.8,""
"Social Contact","2025-07-16T19:38:47.200000+00:00","Behavior Group 2","2025-07-16T19:38:45.400000+00:00",53.4,1.8,""
"Withdraw","2025-07-16T19:38:47.200000+00:00","","2025-07-16T19:38:47.200000+00:00",55.2,0.0,""
"Locomotion","2025-07-16T19:38:47.200000+00:00","Behavior Group 1","2025-07-16T19:38:46.200000+00:00",54.2,1.0,""
"Proximity","2025-07-16T19:38:53.300000+00:00","Behavior Group 2","2025-07-16T19:38:47.200000+00:00",55.2,6.1,""
"Social Contact","2025-07-16T19:38:55.500000+00:00","Behavior Group 2","2025-07-16T19:38:53.300000+00:00",61.3,2.2,""
"Proximity","2025-07-16T19:39:09.200000+00:00","Behavior Group 2","2025-07-16T19:38:55.500000+00:00",63.5,13.7,""
"Passive","2025-07-16T19:39:09.400000+00:00","Behavior Group 1","2025-07-16T19:38:47.200000+00:00",55.2,22.2,""
"Social Contact","2025-07-16T19:39:10.400000+00:00","Behavior Group 2","2025-07-16T19:39:09.200000+00:00",77.2,1.2,""
"Withdraw","2025-07-16T19:39:10.400000+00:00","","2025-07-16T19:39:10.400000+00:00",78.4,0.0,""
"Locomotion","2025-07-16T19:39:11.400000+00:00","Behavior Group 1","2025-07-16T19:39:09.400000+00:00",77.4,2.0,""
"Proximity","2025-07-16T19:39:13.700000+00:00","Behavior Group 2","2025-07-16T19:39:10.400000+00:00",78.4,3.3,""
"Passive","2025-07-16T19:39:13.700000+00:00","Behavior Group 1","2025-07-16T19:39:11.400000+00:00",79.4,2.3,""
"Stop Group 1","2025-07-16T19:39:19.500000+00:00","Behavior Group 1","2025-07-16T19:39:13.700000+00:00",81.7,5.8,""
"Receive Groom","2025-07-16T19:39:19.500000+00:00","Behavior Group 3","2025-07-16T19:39:13.700000+00:00",81.7,5.8,""
"Social Contact","2025-07-16T19:39:19.500000+00:00","Behavior Group 2","2025-07-16T19:39:13.700000+00:00",81.7,5.8,""
"Proximity","2025-07-16T19:39:29.300000+00:00","Behavior Group 2","2025-07-16T19:39:19.500000+00:00",87.5,9.8,""
"Social Contact","2025-07-16T19:39:32.500000+00:00","Behavior Group 2","2025-07-16T19:39:29.300000+00:00",97.3,3.2,""
"Proximity","2025-07-16T19:39:34.700000+00:00","Behavior Group 2","2025-07-16T19:39:32.500000+00:00",100.5,2.2,""
"Passive","2025-07-16T19:39:36.100000+00:00","Behavior Group 1","2025-07-16T19:39:19.500000+00:00",87.5,16.6,""
"Locomotion","2025-07-16T19:39:37+00:00","Behavior Group 1","2025-07-16T19:39:36.100000+00:00",104.1,0.9,""
"Social Contact","2025-07-16T19:39:37.900000+00:00","Behavior Group 2","2025-07-16T19:39:34.700000+00:00",102.7,3.2,""
"Proximity","2025-07-16T19:39:39.600000+00:00","Behavior Group 2","2025-07-16T19:39:37.900000+00:00",105.9,1.7,""
"Passive","2025-07-16T19:39:40.100000+00:00","Behavior Group 1","2025-07-16T19:39:37+00:00",105.0,3.1,""
"Social Contact","2025-07-16T19:39:40.800000+00:00","Behavior Group 2","2025-07-16T19:39:39.600000+00:00",107.6,1.2,""
"Withdraw","2025-07-16T19:39:40.800000+00:00","","2025-07-16T19:39:40.800000+00:00",108.8,0.0,""
"Locomotion","2025-07-16T19:39:41.400000+00:00","Behavior Group 1","2025-07-16T19:39:40.100000+00:00",108.1,1.3,""
"Passive","2025-07-16T19:39:54.700000+00:00","Behavior Group 1","2025-07-16T19:39:41.400000+00:00",109.4,13.3,""
"Self-Directed","2025-07-16T19:39:58.200000+00:00","Behavior Group 1","2025-07-16T19:39:54.700000+00:00",122.7,3.5,""
"Proximity","2025-07-16T19:39:59.800000+00:00","Behavior Group 2","2025-07-16T19:39:40.800000+00:00",108.8,19.0,""
"Social Contact","2025-07-16T19:40:04.200000+00:00","Behavior Group 2","2025-07-16T19:39:59.800000+00:00",127.8,4.4,""
"Proximity","2025-07-16T19:40:18.200000+00:00","Behavior Group 2","2025-07-16T19:40:04.200000+00:00",132.2,14.0,""
"Passive","2025-07-16T19:40:18.900000+00:00","Behavior Group 1","2025-07-16T19:39:58.200000+00:00",126.2,20.7,""
"Social Contact","2025-07-16T19:40:19.700000+00:00","Behavior Group 2","2025-07-16T19:40:18.200000+00:00",146.2,1.5,""
"Withdraw","2025-07-16T19:40:19.700000+00:00","","2025-07-16T19:40:19.700000+00:00",147.7,0.0,""
"Locomotion","2025-07-16T19:40:20.300000+00:00","Behavior Group 1","2025-07-16T19:40:18.900000+00:00",146.9,1.4,""
"Proximity","2025-07-16T19:40:27.600000+00:00","Behavior Group 2","2025-07-16T19:40:19.700000+00:00",147.7,7.9,""
"Social Contact","2025-07-16T19:40:32.800000+00:00","Behavior Group 2","2025-07-16T19:40:27.600000+00:00",155.6,5.2,""
"Proximity","2025-07-16T19:40:39.700000+00:00","Behavior Group 2","2025-07-16T19:40:32.800000+00:00",160.8,6.9,""
"Stop Groom","2025-07-16T19:40:39.700000+00:00","Behavior Group 3","2025-07-16T19:39:19.500000+00:00",87.5,80.2,""
"Passive","2025-07-16T19:40:39.700000+00:00","Behavior Group 1","2025-07-16T19:40:20.300000+00:00",148.3,19.4,""
"Receive Groom","2025-07-16T19:40:43.900000+00:00","Behavior Group 3","2025-07-16T19:40:39.700000+00:00",167.7,4.2,""
"Stop Group 1","2025-07-16T19:40:43.900000+00:00","Behavior Group 1","2025-07-16T19:40:39.700000+00:00",167.7,4.2,""
"Social Contact","2025-07-16T19:40:43.900000+00:00","Behavior Group 2","2025-07-16T19:40:39.700000+00:00",167.7,4.2,""
"Proximity","2025-07-16T19:40:51.900000+00:00","Behavior Group 2","2025-07-16T19:40:43.900000+00:00",171.9,8.0,""
"Passive","2025-07-16T19:40:53.200000+00:00","Behavior Group 1","2025-07-16T19:40:43.900000+00:00",171.9,9.3,""
"Social Contact","2025-07-16T19:40:54.100000+00:00","Behavior Group 2","2025-07-16T19:40:51.900000+00:00",179.9,2.2,""
"Withdraw","2025-07-16T19:40:54.100000+00:00","","2025-07-16T19:40:54.100000+00:00",182.1,0.0,""
"Locomotion","2025-07-16T19:40:55.300000+00:00","Behavior Group 1","2025-07-16T19:40:53.200000+00:00",181.2,2.1,""
"Proximity","2025-07-16T19:40:59.500000+00:00","Behavior Group 2","2025-07-16T19:40:54.100000+00:00",182.1,5.4,""
"Stop Groom","2025-07-16T19:40:59.500000+00:00","Behavior Group 3","2025-07-16T19:40:43.900000+00:00",171.9,15.6,""
"Passive","2025-07-16T19:40:59.500000+00:00","Behavior Group 1","2025-07-16T19:40:55.300000+00:00",183.3,4.2,""
"Receive Groom","2025-07-16T19:41:06.500000+00:00","Behavior Group 3","2025-07-16T19:40:59.500000+00:00",187.5,7.0,""
"Stop Group 1","2025-07-16T19:41:06.500000+00:00","Behavior Group 1","2025-07-16T19:40:59.500000+00:00",187.5,7.0,""
"Social Contact","2025-07-16T19:41:10.899000+00:00","Behavior Group 2","2025-07-16T19:40:59.500000+00:00",187.5,11.399,""
"Proximity","2025-07-16T19:41:15.399000+00:00","Behavior Group 2","2025-07-16T19:41:10.899000+00:00",198.899,4.5,""
