"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Locomotion","2025-06-20T16:44:47+00:00","Behavior Group 1","2025-06-20T16:44:47+00:00",0.0,0.0,""
"Passive","2025-06-20T16:45:06.200000+00:00","Behavior Group 1","2025-06-20T16:44:47+00:00",0.0,19.2,""
"Proximity","2025-06-20T16:45:07.800000+00:00","Behavior Group 2","2025-06-20T16:44:47+00:00",0.0,20.8,""
"Withdraw","2025-06-20T16:45:07.800000+00:00","","2025-06-20T16:45:07.800000+00:00",20.8,0.0,""
"Locomotion","2025-06-20T16:45:08+00:00","Behavior Group 1","2025-06-20T16:45:06.200000+00:00",19.2,1.8,""
"Isolation","2025-06-20T16:45:15+00:00","Behavior Group 2","2025-06-20T16:45:07.800000+00:00",20.8,7.2,""
"Self-Directed","2025-06-20T16:45:15.400000+00:00","Behavior Group 1","2025-06-20T16:45:08+00:00",21.0,7.4,""
"Proximity","2025-06-20T16:45:21.700000+00:00","Behavior Group 2","2025-06-20T16:45:15+00:00",28.0,6.7,""
"Passive","2025-06-20T16:45:21.700000+00:00","Behavior Group 1","2025-06-20T16:45:15.400000+00:00",28.4,6.3,""
"Social Contact","2025-06-20T16:45:24.600000+00:00","Behavior Group 2","2025-06-20T16:45:21.700000+00:00",34.7,2.9,""
"Receive Groom","2025-06-20T16:45:24.600000+00:00","Behavior Group 3","2025-06-20T16:45:21.700000+00:00",34.7,2.9,""
"Stop Group 1","2025-06-20T16:45:24.600000+00:00","Behavior Group 1","2025-06-20T16:45:21.700000+00:00",34.7,2.9,""
"Proximity","2025-06-20T16:45:27.600000+00:00","Behavior Group 2","2025-06-20T16:45:24.600000+00:00",37.6,3.0,""
"Passive","2025-06-20T16:45:28.200000+00:00","Behavior Group 1","2025-06-20T16:45:24.600000+00:00",37.6,3.6,""
"Isolation","2025-06-20T16:45:29.900000+00:00","Behavior Group 2","2025-06-20T16:45:27.600000+00:00",40.6,2.3,""
"Approach","2025-06-20T16:45:29.900000+00:00","","2025-06-20T16:45:29.900000+00:00",42.9,0.0,""
"Self-Directed","2025-06-20T16:45:29.900000+00:00","Behavior Group 1","2025-06-20T16:45:28.200000+00:00",41.2,1.7,""
"Locomotion","2025-06-20T16:45:39.200000+00:00","Behavior Group 1","2025-06-20T16:45:29.900000+00:00",42.9,9.3,""
"Proximity","2025-06-20T16:45:39.300000+00:00","Behavior Group 2","2025-06-20T16:45:29.900000+00:00",42.9,9.4,""
"Passive","2025-06-20T16:45:42+00:00","Behavior Group 1","2025-06-20T16:45:39.200000+00:00",52.2,2.8,""
"Stop Groom","2025-06-20T16:45:42+00:00","Behavior Group 3","2025-06-20T16:45:24.600000+00:00",37.6,17.4,""
"Social Contact","2025-06-20T16:45:46.100000+00:00","Behavior Group 2","2025-06-20T16:45:39.300000+00:00",52.3,6.8,""
"Stop Group 1","2025-06-20T16:45:46.100000+00:00","Behavior Group 1","2025-06-20T16:45:42+00:00",55.0,4.1,""
"Receive Groom","2025-06-20T16:45:46.100000+00:00","Behavior Group 3","2025-06-20T16:45:42+00:00",55.0,4.1,""
"Locomotion","2025-06-20T16:45:57+00:00","Behavior Group 1","2025-06-20T16:45:46.100000+00:00",59.1,10.9,""
"Passive","2025-06-20T16:46:04.200000+00:00","Behavior Group 1","2025-06-20T16:45:57+00:00",70.0,7.2,""
"Proximity","2025-06-20T16:46:06.700000+00:00","Behavior Group 2","2025-06-20T16:45:46.100000+00:00",59.1,20.6,""
"Stop Groom","2025-06-20T16:46:08.100000+00:00","Behavior Group 3","2025-06-20T16:45:46.100000+00:00",59.1,22.0,""
"Receive Groom","2025-06-20T16:46:14.500000+00:00","Behavior Group 3","2025-06-20T16:46:08.100000+00:00",81.1,6.4,""
"Self-Directed","2025-06-20T16:46:16+00:00","Behavior Group 1","2025-06-20T16:46:04.200000+00:00",77.2,11.8,""
"Social Contact","2025-06-20T16:46:16+00:00","Behavior Group 2","2025-06-20T16:46:06.700000+00:00",79.7,9.3,""
"Proximity","2025-06-20T16:46:17.700000+00:00","Behavior Group 2","2025-06-20T16:46:16+00:00",89.0,1.7,""
"Passive","2025-06-20T16:46:19.600000+00:00","Behavior Group 1","2025-06-20T16:46:16+00:00",89.0,3.6,""
"Social Contact","2025-06-20T16:46:20.400000+00:00","Behavior Group 2","2025-06-20T16:46:17.700000+00:00",90.7,2.7,""
"Withdraw","2025-06-20T16:46:20.400000+00:00","","2025-06-20T16:46:20.400000+00:00",93.4,0.0,""
"Locomotion","2025-06-20T16:46:29.300000+00:00","Behavior Group 1","2025-06-20T16:46:19.600000+00:00",92.6,9.7,""
"Proximity","2025-06-20T16:46:29.400000+00:00","Behavior Group 2","2025-06-20T16:46:20.400000+00:00",93.4,9.0,""
"Withdraw","2025-06-20T16:46:29.400000+00:00","","2025-06-20T16:46:29.400000+00:00",102.4,0.0,""
"Passive","2025-06-20T16:46:55.400000+00:00","Behavior Group 1","2025-06-20T16:46:29.300000+00:00",102.3,26.1,""
"Self-Directed","2025-06-20T16:47:05.900000+00:00","Behavior Group 1","2025-06-20T16:46:55.400000+00:00",128.4,10.5,""
"Passive","2025-06-20T16:47:09.700000+00:00","Behavior Group 1","2025-06-20T16:47:05.900000+00:00",138.9,3.8,""
"Isolation","2025-06-20T16:47:12.700000+00:00","Behavior Group 2","2025-06-20T16:46:29.400000+00:00",102.4,43.3,""
"Approach","2025-06-20T16:47:12.700000+00:00","","2025-06-20T16:47:12.700000+00:00",145.7,0.0,""
"Locomotion","2025-06-20T16:47:14.300000+00:00","Behavior Group 1","2025-06-20T16:47:09.700000+00:00",142.7,4.6,""
"Passive","2025-06-20T16:47:20.300000+00:00","Behavior Group 1","2025-06-20T16:47:14.300000+00:00",147.3,6.0,""
"Locomotion","2025-06-20T16:47:24.400000+00:00","Behavior Group 1","2025-06-20T16:47:20.300000+00:00",153.3,4.1,""
"Manipulation","2025-06-20T16:47:26.800000+00:00","Behavior Group 1","2025-06-20T16:47:24.400000+00:00",157.4,2.4,""
"Locomotion","2025-06-20T16:47:30.300000+00:00","Behavior Group 1","2025-06-20T16:47:26.800000+00:00",159.8,3.5,""
"Passive","2025-06-20T16:47:39.600000+00:00","Behavior Group 1","2025-06-20T16:47:30.300000+00:00",163.3,9.3,""
"Proximity","2025-06-20T16:47:42.200000+00:00","Behavior Group 2","2025-06-20T16:47:12.700000+00:00",145.7,29.5,""
"Withdraw","2025-06-20T16:47:42.200000+00:00","","2025-06-20T16:47:42.200000+00:00",175.2,0.0,""
"Locomotion","2025-06-20T16:47:43.700000+00:00","Behavior Group 1","2025-06-20T16:47:39.600000+00:00",172.6,4.1,""
"Self-Directed","2025-06-20T16:47:56.400000+00:00","Behavior Group 1","2025-06-20T16:47:43.700000+00:00",176.7,12.7,""
"Passive","2025-06-20T16:48:09.700000+00:00","Behavior Group 1","2025-06-20T16:47:56.400000+00:00",189.4,13.3,""
"Self-Directed","2025-06-20T16:48:13.800000+00:00","Behavior Group 1","2025-06-20T16:48:09.700000+00:00",202.7,4.1,""
"Passive","2025-06-20T16:48:15.900000+00:00","Behavior Group 1","2025-06-20T16:48:13.800000+00:00",206.8,2.1,""
"Self-Directed","2025-06-20T16:48:25.400000+00:00","Behavior Group 1","2025-06-20T16:48:15.900000+00:00",208.9,9.5,""
"Passive","2025-06-20T16:48:26.900000+00:00","Behavior Group 1","2025-06-20T16:48:25.400000+00:00",218.4,1.5,""
"Self-Directed","2025-06-20T16:48:33.700000+00:00","Behavior Group 1","2025-06-20T16:48:26.900000+00:00",219.9,6.8,""
"Passive","2025-06-20T16:48:42.200000+00:00","Behavior Group 1","2025-06-20T16:48:33.700000+00:00",226.7,8.5,""
"Self-Directed","2025-06-20T16:48:50.200000+00:00","Behavior Group 1","2025-06-20T16:48:42.200000+00:00",235.2,8.0,""
"Passive","2025-06-20T16:48:51.900000+00:00","Behavior Group 1","2025-06-20T16:48:50.200000+00:00",243.2,1.7,""
"Self-Directed","2025-06-20T16:48:56+00:00","Behavior Group 1","2025-06-20T16:48:51.900000+00:00",244.9,4.1,""
"Passive","2025-06-20T16:48:58.100000+00:00","Behavior Group 1","2025-06-20T16:48:56+00:00",249.0,2.1,""
"Self-Directed","2025-06-20T16:49:01.500000+00:00","Behavior Group 1","2025-06-20T16:48:58.100000+00:00",251.1,3.4,""
"Isolation","2025-06-20T16:49:01.500000+00:00","Behavior Group 2","2025-06-20T16:47:42.200000+00:00",175.2,79.3,""
"Approach","2025-06-20T16:49:01.500000+00:00","","2025-06-20T16:49:01.500000+00:00",254.5,0.0,""
"Locomotion","2025-06-20T16:49:05.600000+00:00","Behavior Group 1","2025-06-20T16:49:01.500000+00:00",254.5,4.1,""
"Passive","2025-06-20T16:49:17.200000+00:00","Behavior Group 1","2025-06-20T16:49:05.600000+00:00",258.6,11.6,""
"Locomotion","2025-06-20T16:49:19.100000+00:00","Behavior Group 1","2025-06-20T16:49:17.200000+00:00",270.2,1.9,""
"Passive","2025-06-20T16:49:21.100000+00:00","Behavior Group 1","2025-06-20T16:49:19.100000+00:00",272.1,2.0,""
"Locomotion","2025-06-20T16:49:27.200000+00:00","Behavior Group 1","2025-06-20T16:49:21.100000+00:00",274.1,6.1,""
"Proximity","2025-06-20T16:49:27.200000+00:00","Behavior Group 2","2025-06-20T16:49:01.500000+00:00",254.5,25.7,""
"Withdraw","2025-06-20T16:49:27.200000+00:00","","2025-06-20T16:49:27.200000+00:00",280.2,0.0,""
"Passive","2025-06-20T16:49:28.800000+00:00","Behavior Group 1","2025-06-20T16:49:27.200000+00:00",280.2,1.6,""
"Self-Directed","2025-06-20T16:49:37.900000+00:00","Behavior Group 1","2025-06-20T16:49:28.800000+00:00",281.8,9.1,""
"Locomotion","2025-06-20T16:49:43.400000+00:00","Behavior Group 1","2025-06-20T16:49:37.900000+00:00",290.9,5.5,""
"Passive","2025-06-20T16:49:49+00:00","Behavior Group 1","2025-06-20T16:49:43.400000+00:00",296.4,5.6,""
"Isolation","2025-06-20T16:49:49.900000+00:00","Behavior Group 2","2025-06-20T16:49:27.200000+00:00",280.2,22.7,""
"Approach","2025-06-20T16:49:49.900000+00:00","","2025-06-20T16:49:49.900000+00:00",302.9,0.0,""
"Locomotion","2025-06-20T16:49:53.800000+00:00","Behavior Group 1","2025-06-20T16:49:49+00:00",302.0,4.8,""
"Passive","2025-06-20T16:49:57.400000+00:00","Behavior Group 1","2025-06-20T16:49:53.800000+00:00",306.8,3.6,""
"Proximity","2025-06-20T16:49:59.200000+00:00","Behavior Group 2","2025-06-20T16:49:49.900000+00:00",302.9,9.3,""
"Withdraw","2025-06-20T16:49:59.200000+00:00","","2025-06-20T16:49:59.200000+00:00",312.2,0.0,""
"Locomotion","2025-06-20T16:49:59.300000+00:00","Behavior Group 1","2025-06-20T16:49:57.400000+00:00",310.4,1.9,""
"Self-Directed","2025-06-20T16:50:11.700000+00:00","Behavior Group 1","2025-06-20T16:49:59.300000+00:00",312.3,12.4,""
"Passive","2025-06-20T16:50:13+00:00","Behavior Group 1","2025-06-20T16:50:11.700000+00:00",324.7,1.3,""
"Self-Directed","2025-06-20T16:50:21+00:00","Behavior Group 1","2025-06-20T16:50:13+00:00",326.0,8.0,""
"Passive","2025-06-20T16:50:26+00:00","Behavior Group 1","2025-06-20T16:50:21+00:00",334.0,5.0,""
"Self-Directed","2025-06-20T16:50:27.100000+00:00","Behavior Group 1","2025-06-20T16:50:26+00:00",339.0,1.1,""
"Passive","2025-06-20T16:50:36.200000+00:00","Behavior Group 1","2025-06-20T16:50:27.100000+00:00",340.1,9.1,""
"Self-Directed","2025-06-20T16:50:44.500000+00:00","Behavior Group 1","2025-06-20T16:50:36.200000+00:00",349.2,8.3,""
"Isolation","2025-06-20T16:50:44.500000+00:00","Behavior Group 2","2025-06-20T16:49:59.200000+00:00",312.2,45.3,""
"Approach","2025-06-20T16:50:44.500000+00:00","","2025-06-20T16:50:44.500000+00:00",357.5,0.0,""
"Locomotion","2025-06-20T16:50:48.400000+00:00","Behavior Group 1","2025-06-20T16:50:44.500000+00:00",357.5,3.9,""
"Passive","2025-06-20T16:50:52.700000+00:00","Behavior Group 1","2025-06-20T16:50:48.400000+00:00",361.4,4.3,""
"Locomotion","2025-06-20T16:50:58.400000+00:00","Behavior Group 1","2025-06-20T16:50:52.700000+00:00",365.7,5.7,""
"Passive","2025-06-20T16:51:06.400000+00:00","Behavior Group 1","2025-06-20T16:50:58.400000+00:00",371.4,8.0,""
"Locomotion","2025-06-20T16:51:11.500000+00:00","Behavior Group 1","2025-06-20T16:51:06.400000+00:00",379.4,5.1,""
"Passive","2025-06-20T16:51:14.800000+00:00","Behavior Group 1","2025-06-20T16:51:11.500000+00:00",384.5,3.3,""
"Locomotion","2025-06-20T16:51:22.900000+00:00","Behavior Group 1","2025-06-20T16:51:14.800000+00:00",387.8,8.1,""
"Passive","2025-06-20T16:51:24.100000+00:00","Behavior Group 1","2025-06-20T16:51:22.900000+00:00",395.9,1.2,""
"Locomotion","2025-06-20T16:51:25.600000+00:00","Behavior Group 1","2025-06-20T16:51:24.100000+00:00",397.1,1.5,""
"Proximity","2025-06-20T16:51:25.600000+00:00","Behavior Group 2","2025-06-20T16:50:44.500000+00:00",357.5,41.1,""
"Withdraw","2025-06-20T16:51:25.600000+00:00","","2025-06-20T16:51:25.600000+00:00",398.6,0.0,""
"Self-Directed","2025-06-20T16:51:42.700000+00:00","Behavior Group 1","2025-06-20T16:51:25.600000+00:00",398.6,17.1,""
"Isolation","2025-06-20T16:51:42.700000+00:00","Behavior Group 2","2025-06-20T16:51:25.600000+00:00",398.6,17.1,""
"Locomotion","2025-06-20T16:51:44.500000+00:00","Behavior Group 1","2025-06-20T16:51:42.700000+00:00",415.7,1.8,""
"Passive","2025-06-20T16:51:57.900000+00:00","Behavior Group 1","2025-06-20T16:51:44.500000+00:00",417.5,13.4,""
"Locomotion","2025-06-20T16:52:03+00:00","Behavior Group 1","2025-06-20T16:51:57.900000+00:00",430.9,5.1,""
"Proximity","2025-06-20T16:52:03+00:00","Behavior Group 2","2025-06-20T16:51:42.700000+00:00",415.7,20.3,""
"Withdraw","2025-06-20T16:52:03+00:00","","2025-06-20T16:52:03+00:00",436.0,0.0,""
"Self-Directed","2025-06-20T16:52:30.400000+00:00","Behavior Group 1","2025-06-20T16:52:03+00:00",436.0,27.4,""
"Passive","2025-06-20T16:52:38+00:00","Behavior Group 1","2025-06-20T16:52:30.400000+00:00",463.4,7.6,""
"Isolation","2025-06-20T16:52:38.400000+00:00","Behavior Group 2","2025-06-20T16:52:03+00:00",436.0,35.4,""
"Approach","2025-06-20T16:52:38.400000+00:00","","2025-06-20T16:52:38.400000+00:00",471.4,0.0,""
