"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Proximity","2025-06-05T19:42:20.300000+00:00","Behavior Group 2","2025-06-05T19:42:14+00:00",0.0,6.3,""
"Withdraw","2025-06-05T19:42:20.300000+00:00","","2025-06-05T19:42:20.300000+00:00",6.3,0.0,""
"Self-Directed","2025-06-05T19:42:20.300000+00:00","Behavior Group 1","2025-06-05T19:42:14+00:00",0.0,6.3,""
"Passive","2025-06-05T19:42:21.400000+00:00","Behavior Group 1","2025-06-05T19:42:20.300000+00:00",6.3,1.1,""
"Isolation","2025-06-05T19:42:29.500000+00:00","Behavior Group 2","2025-06-05T19:42:20.300000+00:00",6.3,9.2,""
"Self-Directed","2025-06-05T19:42:29.500000+00:00","Behavior Group 1","2025-06-05T19:42:21.400000+00:00",7.4,8.1,""
"Approach","2025-06-05T19:42:29.500000+00:00","","2025-06-05T19:42:29.500000+00:00",15.5,0.0,""
"Passive","2025-06-05T19:42:29.500000+00:00","Behavior Group 1","2025-06-05T19:42:29.500000+00:00",15.5,0.0,""
"Locomotion","2025-06-05T19:42:34.400000+00:00","Behavior Group 1","2025-06-05T19:42:29.500000+00:00",15.5,4.9,""
"Passive","2025-06-05T19:42:37.800000+00:00","Behavior Group 1","2025-06-05T19:42:34.400000+00:00",20.4,3.4,""
"Locomotion","2025-06-05T19:42:50.900000+00:00","Behavior Group 1","2025-06-05T19:42:37.800000+00:00",23.8,13.1,""
"Proximity","2025-06-05T19:42:56.400000+00:00","Behavior Group 2","2025-06-05T19:42:29.500000+00:00",15.5,26.9,""
"Passive","2025-06-05T19:42:58.300000+00:00","Behavior Group 1","2025-06-05T19:42:50.900000+00:00",36.9,7.4,""
"Self-Directed","2025-06-05T19:43:09.600000+00:00","Behavior Group 1","2025-06-05T19:42:58.300000+00:00",44.3,11.3,""
"Social Contact","2025-06-05T19:43:09.600000+00:00","Behavior Group 2","2025-06-05T19:42:56.400000+00:00",42.4,13.2,""
"Proximity","2025-06-05T19:43:12.300000+00:00","Behavior Group 2","2025-06-05T19:43:09.600000+00:00",55.6,2.7,""
"Social Contact","2025-06-05T19:43:13.700000+00:00","Behavior Group 2","2025-06-05T19:43:12.300000+00:00",58.3,1.4,""
"Proximity","2025-06-05T19:43:14.800000+00:00","Behavior Group 2","2025-06-05T19:43:13.700000+00:00",59.7,1.1,""
"Passive","2025-06-05T19:43:15.600000+00:00","Behavior Group 1","2025-06-05T19:43:09.600000+00:00",55.6,6.0,""
"Social Contact","2025-06-05T19:43:15.600000+00:00","Behavior Group 2","2025-06-05T19:43:14.800000+00:00",60.8,0.8,""
"Withdraw","2025-06-05T19:43:15.600000+00:00","","2025-06-05T19:43:15.600000+00:00",61.6,0.0,""
"Locomotion","2025-06-05T19:43:23.900000+00:00","Behavior Group 1","2025-06-05T19:43:15.600000+00:00",61.6,8.3,""
"Passive","2025-06-05T19:43:25.500000+00:00","Behavior Group 1","2025-06-05T19:43:23.900000+00:00",69.9,1.6,""
"Locomotion","2025-06-05T19:43:29.300000+00:00","Behavior Group 1","2025-06-05T19:43:25.500000+00:00",71.5,3.8,""
"Proximity","2025-06-05T19:43:30.600000+00:00","Behavior Group 2","2025-06-05T19:43:15.600000+00:00",61.6,15.0,""
"Self-Directed","2025-06-05T19:43:37.300000+00:00","Behavior Group 1","2025-06-05T19:43:29.300000+00:00",75.3,8.0,""
"Passive","2025-06-05T19:43:47+00:00","Behavior Group 1","2025-06-05T19:43:37.300000+00:00",83.3,9.7,""
"Social Contact","2025-06-05T19:43:47.500000+00:00","Behavior Group 2","2025-06-05T19:43:30.600000+00:00",76.6,16.9,""
"Withdraw","2025-06-05T19:43:47.500000+00:00","","2025-06-05T19:43:47.500000+00:00",93.5,0.0,""
"Locomotion","2025-06-05T19:44:03.100000+00:00","Behavior Group 1","2025-06-05T19:43:47+00:00",93.0,16.1,""
"Proximity","2025-06-05T19:44:03.100000+00:00","Behavior Group 2","2025-06-05T19:43:47.500000+00:00",93.5,15.6,""
"Social Contact","2025-06-05T19:44:05.500000+00:00","Behavior Group 2","2025-06-05T19:44:03.100000+00:00",109.1,2.4,""
"Passive","2025-06-05T19:44:05.900000+00:00","Behavior Group 1","2025-06-05T19:44:03.100000+00:00",109.1,2.8,""
