"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Isolation","2023-12-28T19:20:37.900000+00:00","Behavior Group 2","2023-12-28T19:20:37.900000+00:00",0.0,0.0,""
"Passive","2023-12-28T19:20:43.799000+00:00","Behavior Group 1","2023-12-28T19:20:37.900000+00:00",0.0,5.899,""
"Proximity","2023-12-28T19:20:47.400000+00:00","Behavior Group 2","2023-12-28T19:20:37.900000+00:00",0.0,9.5,""
"Self Directed","2023-12-28T19:20:48.183000+00:00","Behavior Group 1","2023-12-28T19:20:43.799000+00:00",5.899,4.384,""
"Stop Group 1","2023-12-28T19:20:48.200000+00:00","Behavior Group 1","2023-12-28T19:20:48.183000+00:00",10.283,0.017,""
"Isolation","2023-12-28T19:20:49.299000+00:00","Behavior Group 2","2023-12-28T19:20:47.400000+00:00",9.5,1.899,""
"Approach","2023-12-28T19:20:49.490000+00:00","","2023-12-28T19:20:49.490000+00:00",11.59,0.0,""
"Social Contact","2023-12-28T19:20:50.500000+00:00","Behavior Group 2","2023-12-28T19:20:49.299000+00:00",11.399,1.201,""
"Proximity","2023-12-28T19:20:50.500000+00:00","Behavior Group 2","2023-12-28T19:20:50.500000+00:00",12.6,0.0,""
"Locomotion","2023-12-28T19:20:51.061000+00:00","Behavior Group 1","2023-12-28T19:20:48.200000+00:00",10.3,2.861,""
"Isolation","2023-12-28T19:20:51.400000+00:00","Behavior Group 2","2023-12-28T19:20:50.500000+00:00",12.6,0.9,""
"Stop Group 1","2023-12-28T19:20:52.099000+00:00","Behavior Group 1","2023-12-28T19:20:51.061000+00:00",13.161,1.038,""
"Social Contact","2023-12-28T19:20:58.099000+00:00","Behavior Group 2","2023-12-28T19:20:51.400000+00:00",13.5,6.699,""
"Passive","2023-12-28T19:20:58.599000+00:00","Behavior Group 1","2023-12-28T19:20:52.099000+00:00",14.199,6.5,""
"Locomotion","2023-12-28T19:21:03.200000+00:00","Behavior Group 1","2023-12-28T19:20:58.599000+00:00",20.699,4.601,""
"Self Directed","2023-12-28T19:21:06.964000+00:00","Behavior Group 1","2023-12-28T19:21:03.200000+00:00",25.3,3.764,""
"Proximity","2023-12-28T19:21:07+00:00","Behavior Group 2","2023-12-28T19:20:58.099000+00:00",20.199,8.901,""
"Social Contact","2023-12-28T19:21:09.400000+00:00","Behavior Group 2","2023-12-28T19:21:07+00:00",29.1,2.4,""
"Stop Group 1","2023-12-28T19:21:12.100000+00:00","Behavior Group 1","2023-12-28T19:21:06.964000+00:00",29.064,5.136,""
"Proximity","2023-12-28T19:21:29.699000+00:00","Behavior Group 2","2023-12-28T19:21:09.400000+00:00",31.5,20.299,""
"Passive","2023-12-28T19:21:33.677000+00:00","Behavior Group 1","2023-12-28T19:21:12.100000+00:00",34.2,21.577,""
"Stop Group 1","2023-12-28T19:21:33.699000+00:00","Behavior Group 1","2023-12-28T19:21:33.677000+00:00",55.777,0.022,""
"Isolation","2023-12-28T19:21:33.900000+00:00","Behavior Group 2","2023-12-28T19:21:29.699000+00:00",51.799,4.201,""
"Approach","2023-12-28T19:21:33.936000+00:00","","2023-12-28T19:21:33.936000+00:00",56.036,0.0,""
"Locomotion","2023-12-28T19:21:34.900000+00:00","Behavior Group 1","2023-12-28T19:21:33.699000+00:00",55.799,1.201,""
"Passive","2023-12-28T19:21:36.900000+00:00","Behavior Group 1","2023-12-28T19:21:34.900000+00:00",57.0,2.0,""
"Social Contact","2023-12-28T19:21:37+00:00","Behavior Group 2","2023-12-28T19:21:33.900000+00:00",56.0,3.1,""
"Proximity","2023-12-28T19:21:45+00:00","Behavior Group 2","2023-12-28T19:21:37+00:00",59.1,8.0,""
"Locomotion","2023-12-28T19:21:45.070000+00:00","Behavior Group 1","2023-12-28T19:21:36.900000+00:00",59.0,8.17,""
"Receive Groom","2023-12-28T19:21:49.400000+00:00","Behavior Group 3","2023-12-28T19:21:45.300000+00:00",67.4,4.1,""
"Stop Group 1","2023-12-28T19:21:49.400000+00:00","Behavior Group 1","2023-12-28T19:21:45.070000+00:00",67.17,4.33,""
"Passive","2023-12-28T19:21:50.900000+00:00","Behavior Group 1","2023-12-28T19:21:49.400000+00:00",71.5,1.5,""
"Social Contact","2023-12-28T19:21:51.300000+00:00","Behavior Group 2","2023-12-28T19:21:45+00:00",67.1,6.3,""
"Withdraw","2023-12-28T19:21:51.699000+00:00","","2023-12-28T19:21:51.699000+00:00",73.799,0.0,""
"Locomotion","2023-12-28T19:21:53.285000+00:00","Behavior Group 1","2023-12-28T19:21:50.900000+00:00",73.0,2.385,""
"Self Directed","2023-12-28T19:21:54.599000+00:00","Behavior Group 1","2023-12-28T19:21:53.285000+00:00",75.385,1.314,""
"Stop Group 1","2023-12-28T19:21:54.600000+00:00","Behavior Group 1","2023-12-28T19:21:54.599000+00:00",76.699,0.001,""
"Proximity","2023-12-28T19:21:58.900000+00:00","Behavior Group 2","2023-12-28T19:21:51.300000+00:00",73.4,7.6,""
"Passive","2023-12-28T19:22:03.284000+00:00","Behavior Group 1","2023-12-28T19:21:54.600000+00:00",76.7,8.684,""
"Self Directed","2023-12-28T19:22:05.184000+00:00","Behavior Group 1","2023-12-28T19:22:03.284000+00:00",85.384,1.9,""
