"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Self-Directed","2025-06-05T19:42:39.400000+00:00","Behavior Group 1","2025-06-05T19:42:18+00:00",0.0,21.4,""
"Proximity","2025-06-05T19:42:40.200000+00:00","Behavior Group 2","2025-06-05T19:42:18+00:00",0.0,22.2,""
"Passive","2025-06-05T19:42:41.700000+00:00","Behavior Group 1","2025-06-05T19:42:39.400000+00:00",21.4,2.3,""
"Self-Directed","2025-06-05T19:42:45.700000+00:00","Behavior Group 1","2025-06-05T19:42:41.700000+00:00",23.7,4.0,""
"Isolation","2025-06-05T19:42:45.700000+00:00","Behavior Group 2","2025-06-05T19:42:40.200000+00:00",22.2,5.5,""
"Approach","2025-06-05T19:42:45.700000+00:00","","2025-06-05T19:42:45.700000+00:00",27.7,0.0,""
"Proximity","2025-06-05T19:42:48.800000+00:00","Behavior Group 2","2025-06-05T19:42:45.700000+00:00",27.7,3.1,""
"Social Contact","2025-06-05T19:42:49.700000+00:00","Behavior Group 2","2025-06-05T19:42:48.800000+00:00",30.8,0.9,""
"Withdraw","2025-06-05T19:42:49.700000+00:00","","2025-06-05T19:42:49.700000+00:00",31.7,0.0,""
"Locomotion","2025-06-05T19:43:05.100000+00:00","Behavior Group 1","2025-06-05T19:42:45.700000+00:00",27.7,19.4,""
"Passive","2025-06-05T19:43:05.100000+00:00","Behavior Group 1","2025-06-05T19:43:05.100000+00:00",47.1,0.0,""
"Self-Directed","2025-06-05T19:43:27.900000+00:00","Behavior Group 1","2025-06-05T19:43:05.100000+00:00",47.1,22.8,""
"Passive","2025-06-05T19:43:29.900000+00:00","Behavior Group 1","2025-06-05T19:43:27.900000+00:00",69.9,2.0,""
"Locomotion","2025-06-05T19:43:39.600000+00:00","Behavior Group 1","2025-06-05T19:43:29.900000+00:00",71.9,9.7,""
"Proximity","2025-06-05T19:43:53.900000+00:00","Behavior Group 2","2025-06-05T19:42:49.700000+00:00",31.7,64.2,""
"Self-Directed","2025-06-05T19:43:54.500000+00:00","Behavior Group 1","2025-06-05T19:43:39.600000+00:00",81.6,14.9,""
"Social Contact","2025-06-05T19:43:55.200000+00:00","Behavior Group 2","2025-06-05T19:43:53.900000+00:00",95.9,1.3,""
"Withdraw","2025-06-05T19:43:55.200000+00:00","","2025-06-05T19:43:55.200000+00:00",97.2,0.0,""
"Locomotion","2025-06-05T19:44:15.900000+00:00","Behavior Group 1","2025-06-05T19:43:54.500000+00:00",96.5,21.4,""
"Proximity","2025-06-05T19:44:15.900000+00:00","Behavior Group 2","2025-06-05T19:43:55.200000+00:00",97.2,20.7,""
"Approach","2025-06-05T19:44:15.900000+00:00","","2025-06-05T19:44:15.900000+00:00",117.9,0.0,""
"Social Contact","2025-06-05T19:44:16.900000+00:00","Behavior Group 2","2025-06-05T19:44:15.900000+00:00",117.9,1.0,""
"Passive","2025-06-05T19:44:18+00:00","Behavior Group 1","2025-06-05T19:44:15.900000+00:00",117.9,2.1,""
"Locomotion","2025-06-05T19:44:22.400000+00:00","Behavior Group 1","2025-06-05T19:44:18+00:00",120.0,4.4,""
"Proximity","2025-06-05T19:44:22.400000+00:00","Behavior Group 2","2025-06-05T19:44:16.900000+00:00",118.9,5.5,""
"Approach","2025-06-05T19:44:22.400000+00:00","","2025-06-05T19:44:22.400000+00:00",124.4,0.0,""
"Passive","2025-06-05T19:44:24.900000+00:00","Behavior Group 1","2025-06-05T19:44:22.400000+00:00",124.4,2.5,""
"Social Contact","2025-06-05T19:44:25.300000+00:00","Behavior Group 2","2025-06-05T19:44:22.400000+00:00",124.4,2.9,""
"Withdraw","2025-06-05T19:44:25.300000+00:00","","2025-06-05T19:44:25.300000+00:00",127.3,0.0,""
"Locomotion","2025-06-05T19:44:37.100000+00:00","Behavior Group 1","2025-06-05T19:44:24.900000+00:00",126.9,12.2,""
"Self-Directed","2025-06-05T19:44:48.400000+00:00","Behavior Group 1","2025-06-05T19:44:37.100000+00:00",139.1,11.3,""
"Locomotion","2025-06-05T19:45:02.800000+00:00","Behavior Group 1","2025-06-05T19:44:48.400000+00:00",150.4,14.4,""
"Passive","2025-06-05T19:45:04.300000+00:00","Behavior Group 1","2025-06-05T19:45:02.800000+00:00",164.8,1.5,""
"Locomotion","2025-06-05T19:45:10.900000+00:00","Behavior Group 1","2025-06-05T19:45:04.300000+00:00",166.3,6.6,""
"Self-Directed","2025-06-05T19:45:20.400000+00:00","Behavior Group 1","2025-06-05T19:45:10.900000+00:00",172.9,9.5,""
"Locomotion","2025-06-05T19:45:40.899000+00:00","Behavior Group 1","2025-06-05T19:45:20.400000+00:00",182.4,20.499,""
"Self-Directed","2025-06-05T19:45:53.800000+00:00","Behavior Group 1","2025-06-05T19:45:40.899000+00:00",202.899,12.901,""
"Locomotion","2025-06-05T19:46:01.300000+00:00","Behavior Group 1","2025-06-05T19:45:53.800000+00:00",215.8,7.5,""
"Passive","2025-06-05T19:46:03.200000+00:00","Behavior Group 1","2025-06-05T19:46:01.300000+00:00",223.3,1.9,""
"Locomotion","2025-06-05T19:46:16.200000+00:00","Behavior Group 1","2025-06-05T19:46:03.200000+00:00",225.2,13.0,""
"Self-Directed","2025-06-05T19:46:22.800000+00:00","Behavior Group 1","2025-06-05T19:46:16.200000+00:00",238.2,6.6,""
"Passive","2025-06-05T19:46:24.900000+00:00","Behavior Group 1","2025-06-05T19:46:22.800000+00:00",244.8,2.1,""
"Self-Directed","2025-06-05T19:46:28.700000+00:00","Behavior Group 1","2025-06-05T19:46:24.900000+00:00",246.9,3.8,""
"Locomotion","2025-06-05T19:46:54.600000+00:00","Behavior Group 1","2025-06-05T19:46:28.700000+00:00",250.7,25.9,""
"Self-Directed","2025-06-05T19:47:05.900000+00:00","Behavior Group 1","2025-06-05T19:46:54.600000+00:00",276.6,11.3,""
"Passive","2025-06-05T19:47:06.600000+00:00","Behavior Group 1","2025-06-05T19:47:05.900000+00:00",287.9,0.7,""
