"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Proximity","2025-05-27T16:24:23.400000+00:00","Behavior Group 2","2025-05-27T16:23:57+00:00",0.0,26.4,""
"Social Contact","2025-05-27T16:24:24.700000+00:00","Behavior Group 2","2025-05-27T16:24:23.400000+00:00",26.4,1.3,""
"Self-Directed","2025-05-27T16:24:24.800000+00:00","Behavior Group 1","2025-05-27T16:23:57+00:00",0.0,27.8,""
"Proximity","2025-05-27T16:24:25.800000+00:00","Behavior Group 2","2025-05-27T16:24:24.700000+00:00",27.7,1.1,""
"Social Contact","2025-05-27T16:24:26.800000+00:00","Behavior Group 2","2025-05-27T16:24:25.800000+00:00",28.8,1.0,""
"Passive","2025-05-27T16:24:28.700000+00:00","Behavior Group 1","2025-05-27T16:24:24.800000+00:00",27.8,3.9,""
"Locomotion","2025-05-27T16:24:30.300000+00:00","Behavior Group 1","2025-05-27T16:24:28.700000+00:00",31.7,1.6,""
"Passive","2025-05-27T16:24:31.600000+00:00","Behavior Group 1","2025-05-27T16:24:30.300000+00:00",33.3,1.3,""
"Self-Directed","2025-05-27T16:24:33.100000+00:00","Behavior Group 1","2025-05-27T16:24:31.600000+00:00",34.6,1.5,""
"Proximity","2025-05-27T16:24:52.500000+00:00","Behavior Group 2","2025-05-27T16:24:26.800000+00:00",29.8,25.7,""
"Approach","2025-05-27T16:24:53.100000+00:00","","2025-05-27T16:24:53.100000+00:00",56.1,0.0,""
"Social Contact","2025-05-27T16:24:59.100000+00:00","Behavior Group 2","2025-05-27T16:24:52.500000+00:00",55.5,6.6,""
"Passive","2025-05-27T16:25:06.900000+00:00","Behavior Group 1","2025-05-27T16:24:33.100000+00:00",36.1,33.8,""
"Self-Directed","2025-05-27T16:25:12.700000+00:00","Behavior Group 1","2025-05-27T16:25:06.900000+00:00",69.9,5.8,""
"Passive","2025-05-27T16:25:36.300000+00:00","Behavior Group 1","2025-05-27T16:25:12.700000+00:00",75.7,23.6,""
"Self-Directed","2025-05-27T16:25:39.300000+00:00","Behavior Group 1","2025-05-27T16:25:36.300000+00:00",99.3,3.0,""
