"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Passive","2025-07-09T21:07:46.600000+00:00","Behavior Group 1","2025-07-09T21:07:43+00:00",0.0,3.6,""
"Self-Directed","2025-07-09T21:08:17.500000+00:00","Behavior Group 1","2025-07-09T21:07:46.600000+00:00",3.6,30.9,""
"Proximity","2025-07-09T21:08:17.500000+00:00","Behavior Group 2","2025-07-09T21:07:43+00:00",0.0,34.5,""
"Passive","2025-07-09T21:08:22.200000+00:00","Behavior Group 1","2025-07-09T21:08:17.500000+00:00",34.5,4.7,""
"Social Contact","2025-07-09T21:08:22.600000+00:00","Behavior Group 2","2025-07-09T21:08:17.500000+00:00",34.5,5.1,""
"Proximity","2025-07-09T21:08:27.300000+00:00","Behavior Group 2","2025-07-09T21:08:22.600000+00:00",39.6,4.7,""
"Self-Directed","2025-07-09T21:08:27.700000+00:00","Behavior Group 1","2025-07-09T21:08:22.200000+00:00",39.2,5.5,""
"Locomotion","2025-07-09T21:08:28.400000+00:00","Behavior Group 1","2025-07-09T21:08:27.700000+00:00",44.7,0.7,""
"Passive","2025-07-09T21:08:32.200000+00:00","Behavior Group 1","2025-07-09T21:08:28.400000+00:00",45.4,3.8,""
"Receive Groom","2025-07-09T21:08:43.400000+00:00","Behavior Group 3","2025-07-09T21:08:32.200000+00:00",49.2,11.2,""
"Stop Group 1","2025-07-09T21:08:43.400000+00:00","Behavior Group 1","2025-07-09T21:08:32.200000+00:00",49.2,11.2,""
"Social Contact","2025-07-09T21:08:45.600000+00:00","Behavior Group 2","2025-07-09T21:08:27.300000+00:00",44.3,18.3,""
"Proximity","2025-07-09T21:08:46.400000+00:00","Behavior Group 2","2025-07-09T21:08:45.600000+00:00",62.6,0.8,""
"Stop Groom","2025-07-09T21:08:48.300000+00:00","Behavior Group 3","2025-07-09T21:08:43.400000+00:00",60.4,4.9,""
"Passive","2025-07-09T21:08:48.300000+00:00","Behavior Group 1","2025-07-09T21:08:43.400000+00:00",60.4,4.9,""
"Receive Groom","2025-07-09T21:09:00.500000+00:00","Behavior Group 3","2025-07-09T21:08:48.300000+00:00",65.3,12.2,""
"Stop Group 1","2025-07-09T21:09:00.500000+00:00","Behavior Group 1","2025-07-09T21:08:48.300000+00:00",65.3,12.2,""
"Social Contact","2025-07-09T21:09:01.300000+00:00","Behavior Group 2","2025-07-09T21:08:46.400000+00:00",63.4,14.9,""
"Proximity","2025-07-09T21:09:02.500000+00:00","Behavior Group 2","2025-07-09T21:09:01.300000+00:00",78.3,1.2,""
"Social Contact","2025-07-09T21:09:06.100000+00:00","Behavior Group 2","2025-07-09T21:09:02.500000+00:00",79.5,3.6,""
"Proximity","2025-07-09T21:09:07.900000+00:00","Behavior Group 2","2025-07-09T21:09:06.100000+00:00",83.1,1.8,""
"Social Contact","2025-07-09T21:09:10+00:00","Behavior Group 2","2025-07-09T21:09:07.900000+00:00",84.9,2.1,""
"Proximity","2025-07-09T21:09:17.300000+00:00","Behavior Group 2","2025-07-09T21:09:10+00:00",87.0,7.3,""
"Social Contact","2025-07-09T21:09:29.100000+00:00","Behavior Group 2","2025-07-09T21:09:17.300000+00:00",94.3,11.8,""
