"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Passive","2024-02-12T19:33:48.400000+00:00","Behavior Group 1","2024-02-12T19:33:19+00:00",0.0,29.4,""
"Locomotion","2024-02-12T19:33:49.300000+00:00","Behavior Group 1","2024-02-12T19:33:48.400000+00:00",29.4,0.9,""
"Manipulation","2024-02-12T19:33:52.200000+00:00","Behavior Group 1","2024-02-12T19:33:49.300000+00:00",30.3,2.9,""
"Locomotion","2024-02-12T19:33:54.500000+00:00","Behavior Group 1","2024-02-12T19:33:52.200000+00:00",33.2,2.3,""
"Passive","2024-02-12T19:33:56.300000+00:00","Behavior Group 1","2024-02-12T19:33:54.500000+00:00",35.5,1.8,""
"Locomotion","2024-02-12T19:33:57.200000+00:00","Behavior Group 1","2024-02-12T19:33:56.300000+00:00",37.3,0.9,""
"Manipulation","2024-02-12T19:34:03.800000+00:00","Behavior Group 1","2024-02-12T19:33:57.200000+00:00",38.2,6.6,""
"Self-Directed","2024-02-12T19:34:05.099000+00:00","Behavior Group 1","2024-02-12T19:34:03.800000+00:00",44.8,1.299,""
"Passive","2024-02-12T19:34:08.900000+00:00","Behavior Group 1","2024-02-12T19:34:05.099000+00:00",46.099,3.801,""
"Self-Directed","2024-02-12T19:34:21.700000+00:00","Behavior Group 1","2024-02-12T19:34:08.900000+00:00",49.9,12.8,""
"Passive","2024-02-12T19:34:35.600000+00:00","Behavior Group 1","2024-02-12T19:34:21.700000+00:00",62.7,13.9,""
"Self-Directed","2024-02-12T19:34:39.700000+00:00","Behavior Group 1","2024-02-12T19:34:35.600000+00:00",76.6,4.1,""
"Locomotion","2024-02-12T19:34:41.500000+00:00","Behavior Group 1","2024-02-12T19:34:39.700000+00:00",80.7,1.8,""
"Self-Directed","2024-02-12T19:34:42.800000+00:00","Behavior Group 1","2024-02-12T19:34:41.500000+00:00",82.5,1.3,""
"Locomotion","2024-02-12T19:34:44.700000+00:00","Behavior Group 1","2024-02-12T19:34:42.800000+00:00",83.8,1.9,""
"Manipulation","2024-02-12T19:34:59.800000+00:00","Behavior Group 1","2024-02-12T19:34:44.700000+00:00",85.7,15.1,""
"Passive","2024-02-12T19:35:15+00:00","Behavior Group 1","2024-02-12T19:34:59.800000+00:00",100.8,15.2,""
"Locomotion","2024-02-12T19:35:17.200000+00:00","Behavior Group 1","2024-02-12T19:35:15+00:00",116.0,2.2,""
"Passive","2024-02-12T19:35:33+00:00","Behavior Group 1","2024-02-12T19:35:17.200000+00:00",118.2,15.8,""
"Self-Directed","2024-02-12T19:35:42.600000+00:00","Behavior Group 1","2024-02-12T19:35:33+00:00",134.0,9.6,""
"Passive","2024-02-12T19:35:52.200000+00:00","Behavior Group 1","2024-02-12T19:35:42.600000+00:00",143.6,9.6,""
"Self-Directed","2024-02-12T19:35:56.400000+00:00","Behavior Group 1","2024-02-12T19:35:52.200000+00:00",153.2,4.2,""
"Passive","2024-02-12T19:35:59.600000+00:00","Behavior Group 1","2024-02-12T19:35:56.400000+00:00",157.4,3.2,""
"Self-Directed","2024-02-12T19:36:01.100000+00:00","Behavior Group 1","2024-02-12T19:35:59.600000+00:00",160.6,1.5,""
