"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Passive","2023-12-29T19:31:36.099000+00:00","Behavior Group 1","2023-12-29T19:31:33.700000+00:00",0.0,2.399,""
"Isolation","2023-12-29T19:31:38.299000+00:00","Behavior Group 2","2023-12-29T19:31:33.700000+00:00",0.0,4.599,""
"Manipulation","2023-12-29T19:31:48.299000+00:00","Behavior Group 1","2023-12-29T19:31:36.099000+00:00",2.399,12.2,""
"Proximity","2023-12-29T19:31:50.300000+00:00","Behavior Group 2","2023-12-29T19:31:38.299000+00:00",4.599,12.001,""
"Social Contact","2023-12-29T19:31:51.099000+00:00","Behavior Group 2","2023-12-29T19:31:50.300000+00:00",16.6,0.799,""
"Self Directed","2023-12-29T19:31:51.700000+00:00","Behavior Group 1","2023-12-29T19:31:48.299000+00:00",14.599,3.401,""
"Proximity","2023-12-29T19:31:53.500000+00:00","Behavior Group 2","2023-12-29T19:31:51.099000+00:00",17.399,2.401,""
"Passive","2023-12-29T19:31:53.500000+00:00","Behavior Group 1","2023-12-29T19:31:51.700000+00:00",18.0,1.8,""
"Receive Groom","2023-12-29T19:31:56.500000+00:00","Behavior Group 3","2023-12-29T19:31:53.500000+00:00",19.8,3.0,""
"Social Contact","2023-12-29T19:31:56.800000+00:00","Behavior Group 2","2023-12-29T19:31:53.500000+00:00",19.8,3.3,""
"Solicit Grooming","2023-12-29T19:31:58.599000+00:00","Behavior Group 3","2023-12-29T19:31:56.500000+00:00",22.8,2.099,""
"Stop Group 1","2023-12-29T19:31:58.599000+00:00","Behavior Group 1","2023-12-29T19:31:53.500000+00:00",19.8,5.099,""
"Passive","2023-12-29T19:32:02.300000+00:00","Behavior Group 1","2023-12-29T19:31:58.599000+00:00",24.899,3.701,""
"Proximity","2023-12-29T19:32:05.400000+00:00","Behavior Group 2","2023-12-29T19:31:56.800000+00:00",23.1,8.6,""
"Social Contact","2023-12-29T19:32:08.700000+00:00","Behavior Group 2","2023-12-29T19:32:05.400000+00:00",31.7,3.3,""
"Proximity","2023-12-29T19:32:11.599000+00:00","Behavior Group 2","2023-12-29T19:32:08.700000+00:00",35.0,2.899,""
"Manipulation","2023-12-29T19:32:41.100000+00:00","Behavior Group 1","2023-12-29T19:32:02.300000+00:00",28.6,38.8,""
"Self Directed","2023-12-29T19:32:43.800000+00:00","Behavior Group 1","2023-12-29T19:32:41.100000+00:00",67.4,2.7,""
"Manipulation","2023-12-29T19:32:59.800000+00:00","Behavior Group 1","2023-12-29T19:32:43.800000+00:00",70.1,16.0,""
"Passive","2023-12-29T19:33:01.700000+00:00","Behavior Group 1","2023-12-29T19:32:59.800000+00:00",86.1,1.9,""
"Manipulation","2023-12-29T19:33:11.500000+00:00","Behavior Group 1","2023-12-29T19:33:01.700000+00:00",88.0,9.8,""
"Self Directed","2023-12-29T19:33:18.500000+00:00","Behavior Group 1","2023-12-29T19:33:11.500000+00:00",97.8,7.0,""
"Isolation","2023-12-29T19:33:20.500000+00:00","Behavior Group 2","2023-12-29T19:32:11.599000+00:00",37.899,68.901,""
"Proximity","2023-12-29T19:33:21+00:00","Behavior Group 2","2023-12-29T19:33:20.500000+00:00",106.8,0.5,""
"Social Contact","2023-12-29T19:33:23+00:00","Behavior Group 2","2023-12-29T19:33:21+00:00",107.3,2.0,""
"Manipulation","2023-12-29T19:33:24.700000+00:00","Behavior Group 1","2023-12-29T19:33:18.500000+00:00",104.8,6.2,""
